แบบฟอร์มสถานการณ์จำลองการทดสอบแอปพลิเคชัน - DealDrop,,,,,,,
รายวิชา 3130415 โครงงานนวัตกรรมดิจิทัล คณะวิทยาการจัดการ มหาวิทยาลัยราชภัฏยะลา,,,,,,,
ชื่อกลุ่ม/โครงงาน:,,,,,,,
ชื่อแอปพลิเคชัน:,DealDrop,,,,,,
รายชื่อสมาชิกผู้ทดสอบ:,,,,,,,
วันที่ทดสอบ / เวอร์ชันที่ทดสอบ:,,,,,,,
,,,,,,,
สรุปผลรวม:,ผ่าน (Pass),,0,ไม่ผ่าน (Fail),0,รวมทั้งหมด,28
,,,,,,,
รหัส,หมวดการทดสอบ,สถานการณ์จำลอง (Test Scenario),ขั้นตอนการทดสอบ,ผลที่คาดหวัง,ผลจริง,ผ่าน/ไม่ผ่าน,หมายเหตุ
หมวดที่ 1: Functional Testing (การทำงานของฟังก์ชันหลัก),,,,,,,
FT-01,Functional Testing,ค้นหาและสำรวจภารกิจร้านอาหารรอบ ม.,"1. ผู้ทดสอบเปิดหน้าแรก (Home/Explore)
2. กดเลือกแท็บหรือไอคอนหมวดหมู่อาหาร (เช่น อาหารจานเดียว, ชาบู, เครื่องดื่ม)
3. เลื่อนดูรายการภารกิจที่แสดงผล
4. ตรวจสอบการจัดเรียงตามระยะทางจริงจาก GPS และเวลาเควสต์ที่เหลือ
5. แตะเลือกร้านค้า 1 ร้านเพื่อเข้าดูรายละเอียดเควสต์",ระบบกรองและแสดงรายการภารกิจที่ตรงหมวดหมู่และยังไม่หมดอายุ โดยเรียงลำดับจากร้านที่ใกล้ที่สุดและเวลาเหลือน้อยที่สุดอย่างถูกต้อง,,,
FT-02,Functional Testing,สำรวจร้านผ่านแผนที่ (Conquest Map),"1. แตะเมนูแผนที่ ""Conquest Map""
2. เมื่อเบราว์เซอร์แจ้งเตือนขอสิทธิ์ ให้กดยินยอมเปิด GPS Location
3. สังเกตหมุดสีน้ำเงิน (พิกัดปัจจุบันของผู้ใช้) และหมุดร้านค้าต่างๆ รอบ ม.
4. ซูมเข้า-ออก และแตะที่หมุดร้านค้า 1 ร้านเพื่อดูข้อมูลสรุป
5. ตรวจสอบระยะทางที่คำนวณและแสดงผลใน Pop-up",ระบบระบุพิกัดผู้ใช้ถูกต้อง แสดงหมุดร้านค้าที่มีภารกิจสด พร้อมระบุระยะห่างกิโลเมตรจริง และแตะดูรายละเอียดร้านค้าได้ทันที,,,
FT-03,Functional Testing,การกดรับภารกิจและแสดง Live QR,"1. ในหน้ารายละเอียดร้านค้า ให้กดปุ่ม ""รับภารกิจ (Claim Quest)""
2. สังเกตจำนวนสิทธิ์ที่เหลือบนหน้าจอว่าลดลง 1 สิทธิ์ทันทีหรือไม่
3. ระบบนำทางเข้าสู่หน้าบัตรสิทธิ์ Live QR Dynamic Token
4. ตรวจสอบเวลานับถอยหลัง (Timer Countdown) และความเคลื่อนไหวของ Token
5. ปิดหน้านี้แล้วลองเปิดจากเมนูกระเป๋า (Bag) อีกครั้ง",ระบบตัดสิทธิ์โควตาคงเหลือทันที 1 สิทธิ์ สร้างรหัส Live QR Dynamic Token ที่มีเวลานับถอยหลังชัดเจน และสามารถเรียกดูซ้ำได้จากกระเป๋า,,,
FT-04,Functional Testing,ร้านค้าปล่อยภารกิจด่วน (Flash Surge Drop),"1. ร้านค้าเปิดมือถือล็อกอินเข้าสู่ Merchant Dashboard
2. กดปุ่มด่วน ""ปล่อย Flash Surge Drop""
3. เลือกเปอร์เซ็นต์ส่วนลด (เช่น 20%)
4. กำหนดจำนวนโต๊ะจำกัด (เช่น 3 โต๊ะ)
5. กำหนดเวลาใช้งาน (เช่น 60 นาที)
6. กดยืนยันเปิดภารกิจด่วน
7. ตรวจสอบหน้าจอผู้ใช้ว่ามีแถบ Flash Surge สีส้มแจ้งเตือนขึ้นทันทีหรือไม่",ภารกิจเปิดใช้งานทันที หน้าร้านแสดงเวลานับถอยหลัง 60 นาที และหน้าจอฝั่งผู้ใช้แสดงแถบ Flash Surge สีส้มกระพริบแบบเรียลไทม์,,,
FT-05,Functional Testing,ร้านค้าสแกนยืนยันสิทธิ์ Live QR หน้าร้าน,"1. ลูกค้าเปิดหน้า Live QR ที่กดรับสิทธิ์ไว้บนสมาร์ตโฟน
2. ร้านค้าเปิด Dashboard แล้วกดปุ่ม ""สแกน QR ลูกค้า""
3. นำกล้องส่องสแกน Live QR บนหน้าจอมือถือของลูกค้า
4. ตรวจสอบการแจ้งเตือนยืนยันบนหน้าจอร้านค้า
5. ตรวจสอบสถานะบนหน้าจอมือถือของลูกค้า","ระบบตรวจความถูกต้องของ Token ภายใน 1-2 วินาที แจ้งเตือนยืนยันสำเร็จ และปรับสถานะบัตรของลูกค้าเป็น ""ใช้สิทธิ์แล้ว (Redeemed)"" ทันที ไม่สามารถสแกนซ้ำได้",,,
FT-06,Functional Testing,การรับ XP และให้อาหารน้องมะพร้าว (Virtual Pet),"1. หลังจากทำภารกิจหรือสแกนใบเสร็จเรียบร้อย ตรวจสอบการได้รับ XP และวัตถุดิบ
2. แตะเมนูสัตว์เลี้ยง ""น้องมะพร้าว (Virtual Pet)""
3. ตรวจสอบค่าสถานะ: ระดับเลเวล, แถบ XP, และค่าความสุข (Happiness)
4. กดปุ่ม ""ให้อาหารน้องมะพร้าว"" โดยใช้วัตถุดิบที่ได้รับมา
5. สังเกตการเปลี่ยนแปลงของแอนิเมชันและแถบสถานะ",แอนิเมชันน้องมะพร้าวแสดงท่าทางดีใจ หลอดค่าความสุขและหลอด XP ขยับเพิ่มขึ้นอย่างถูกต้อง และข้อมูลบันทึกเข้าฐานข้อมูลเรียลไทม์,,,
FT-07,Functional Testing,การเปิดตี้กินข้าวกับเพื่อน (Squad Lobby),"1. ผู้ใช้คนที่ 1 เข้าเมนู ""เปิดตี้กินข้าว (Squad Lobby)""
2. เลือกร้านค้าและเป้าหมายส่วนลดกลุ่ม (เช่น รวมตี้ 3 คน รับส่วนลด 30%)
3. กดสร้างห้องแล้วกด ""คัดลอกลิงก์ชวนเพื่อน (Share Link)""
4. ส่งลิงก์ให้ผู้ใช้คนที่ 2 และ 3 ผ่าน LINE หรือเบราว์เซอร์อื่น
5. ผู้ใช้คนที่ 2 และ 3 กดเปิดลิงก์และกดยืนยันเข้าร่วมตี้
6. สังเกตหน้าจอผู้ใช้ทุกคนเมื่อมีคนเข้าตี้ครบ 3 คน","ระบบอัปเดตสมาชิกห้องแบบเรียลไทม์ เมื่อครบกำหนดสถานะเปลี่ยนเป็น ""ตี้สำเร็จ"" พร้อมปลดล็อกและแสดงโค้ดส่วนลดกลุ่มให้สมาชิกทุกคนพร้อมกัน",,,
